INFO 2025-04-04 09:51:53,723 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-04 09:51:54,017 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/charset_normalizer/constant.py first seen with mtime 1743056808.485844
DEBUG 2025-04-04 09:51:54,017 autoreload File /usr/lib/python3.10/unittest/loader.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,017 autoreload File /usr/lib/python3.10/lib-dynload/_uuid.cpython-310-x86_64-linux-gnu.so first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,017 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1743056809.8470411
DEBUG 2025-04-04 09:51:54,017 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1743056809.843049
DEBUG 2025-04-04 09:51:54,017 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/charset_normalizer/__init__.py first seen with mtime 1743056808.485844
DEBUG 2025-04-04 09:51:54,017 autoreload File /usr/lib/python3.10/email/header.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,018 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/contrib/sessions/models.py first seen with mtime 1743056809.8470411
DEBUG 2025-04-04 09:51:54,018 autoreload File /home/priyanshus/Documents/django1/demo/app/__init__.py first seen with mtime 1743057499.6080227
DEBUG 2025-04-04 09:51:54,018 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/charset_normalizer/models.py first seen with mtime 1743056808.485844
DEBUG 2025-04-04 09:51:54,018 autoreload File /usr/lib/python3.10/glob.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,018 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/socialaccount/internal/statekit.py first seen with mtime 1743056812.1946285
DEBUG 2025-04-04 09:51:54,018 autoreload File /usr/lib/python3.10/importlib/__init__.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,018 autoreload File /home/priyanshus/Documents/django1/demo/app/models.py first seen with mtime 1743747736.6574528
DEBUG 2025-04-04 09:51:54,018 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/sqlparse/exceptions.py first seen with mtime 1743056808.1266062
DEBUG 2025-04-04 09:51:54,019 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/core/internal/__init__.py first seen with mtime 1743056812.0828242
DEBUG 2025-04-04 09:51:54,019 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/dotenv/__init__.py first seen with mtime 1743056808.170513
DEBUG 2025-04-04 09:51:54,019 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/contrib/sites/admin.py first seen with mtime 1743056809.9149039
DEBUG 2025-04-04 09:51:54,019 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/rest_framework/utils/field_mapping.py first seen with mtime 1743056811.8831842
DEBUG 2025-04-04 09:51:54,019 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/socialaccount/providers/google/__init__.py first seen with mtime 1743056812.2784815
DEBUG 2025-04-04 09:51:54,019 autoreload File /usr/lib/python3.10/email/message.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,019 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/utils/http.py first seen with mtime 1743056810.1344726
